PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
51203,An Jae-seok,Doosan,2026,0.192,73,14,3,0,2,9,2,3,18,1,0.295,241,71,20,2,8,44,22,1,38,3
56251,Daz Cameron,Doosan,2026,0.296,71,21,6,1,1,7,6,2,16,1,0.292,195,57,13,2,8,35,23,1,35,8
79240,Heo Kyoung-Min,Doosan,2026,0.313,80,25,4,0,1,10,5,2,9,1,0.349,189,66,10,0,2,22,16,8,19,7
79231,Jung Soo-bin,Doosan,2026,0.303,89,27,1,2,2,15,14,1,13,0,0.247,296,73,10,2,5,26,30,3,53,4
63123,Kang Seung-ho,Doosan,2026,0.236,55,13,1,0,2,7,3,3,21,1,0.26,131,34,6,0,5,23,7,6,32,4
78224,Kim Jae-hwan,Doosan,2026,0.256,90,23,0,0,4,20,16,2,30,1,0.217,281,61,8,1,16,44,48,2,97,5
53554,Kim Min-suk,Doosan,2026,0.288,73,21,3,1,0,10,11,1,16,1,0.317,287,91,16,2,3,31,32,1,58,0
55252,Park Jun-soon,Doosan,2026,0.282,85,24,4,1,4,11,4,0,15,4,0.319,248,79,11,4,12,46,18,7,58,12
76232,Yang Eui-ji,Doosan,2026,0.25,88,22,3,0,4,13,15,2,13,5,0.268,287,77,14,0,15,55,34,15,35,10
64153,Yang Suk-Hwan,Doosan,2026,0.12,25,3,0,0,1,3,2,0,10,1,0.224,76,17,4,0,0,4,7,0,23,2
79608,An Chi-Hong,Hanwha,2026,0.287,108,31,5,0,2,14,14,1,17,3,0.249,261,65,9,0,7,34,30,2,44,11
79192,Chae Eun-seong,Hanwha,2026,0.226,31,7,0,0,0,3,5,0,7,3,0.298,131,39,6,0,6,16,10,4,25,6
50707,Choi In-ho,Hanwha,2026,0.25,12,3,2,0,0,0,2,0,2,0,0.293,82,24,2,0,3,13,5,1,11,5
66704,Kim Tae-yean,Hanwha,2026,0.324,71,23,4,1,3,11,4,1,14,1,0.258,225,58,10,1,8,22,28,5,50,5
53764,Moon Hyun-bin,Hanwha,2026,0.304,125,38,7,1,2,17,9,2,24,4,0.294,320,94,19,3,9,45,45,3,41,16
56754,Oh Jae-won,Hanwha,2026,0.241,29,7,0,0,0,7,3,0,7,0,0.266,109,29,5,1,0,9,14,0,15,2
69737,Roh Si-Hwan,Hanwha,2026,0.283,92,26,1,0,13,26,16,4,27,3,0.268,336,90,19,1,13,58,28,7,104,11
54730,Yonathan Perlaza,Hanwha,2026,0.188,101,19,5,0,2,15,18,1,26,1,0.328,287,94,20,1,17,49,61,2,62,7
52001,Ahn Hyun-min,KT,2026,0.348,69,24,3,0,7,22,21,4,25,2,0.265,155,41,8,1,5,25,31,13,38,4
