Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Ian Happ#,30.0,CHC,NL,1.1,34.0,165.0,143.0,28.0,41.0,9.0,0.0,2.0,16.0,1.0,1.0,21.0,28.0,0.287,0.376,0.392,0.767,120.0,0.354,128.0,56.0,3.0,0.0,0.0,1.0,0.0,*7,
2.0,Jarren Duran*,28.0,BOS,AL,0.5,34.0,163.0,150.0,19.0,42.0,9.0,4.0,2.0,19.0,11.0,3.0,10.0,30.0,0.28,0.331,0.433,0.765,115.0,0.345,114.0,65.0,1.0,2.0,0.0,1.0,0.0,*7/89,
3.0,Rafael Devers*,28.0,BOS,AL,0.9,35.0,161.0,133.0,22.0,34.0,11.0,0.0,5.0,23.0,0.0,0.0,25.0,43.0,0.256,0.373,0.451,0.824,132.0,0.369,138.0,60.0,2.0,1.0,0.0,2.0,2.0,*D,
4.0,Kyle Tucker*,28.0,CHC,NL,1.5,34.0,159.0,134.0,30.0,38.0,8.0,2.0,9.0,30.0,8.0,0.0,24.0,19.0,0.284,0.39,0.575,0.965,172.0,0.42,166.0,77.0,3.0,0.0,0.0,1.0,3.0,*9/D,
5.0,Alex Bregman,31.0,BOS,AL,2.3,34.0,155.0,136.0,24.0,44.0,13.0,0.0,8.0,27.0,1.0,1.0,14.0,28.0,0.324,0.4,0.596,0.996,178.0,0.427,181.0,81.0,1.0,4.0,0.0,1.0,1.0,*5,
6.0,Corbin Carroll*,24.0,ARI,NL,1.5,33.0,154.0,140.0,25.0,39.0,8.0,4.0,9.0,23.0,5.0,1.0,10.0,41.0,0.279,0.344,0.586,0.93,154.0,0.397,150.0,82.0,1.0,4.0,0.0,0.0,1.0,*9/H,
7.0,James Wood*,22.0,WSN,NL,1.2,34.0,151.0,128.0,21.0,35.0,8.0,0.0,9.0,21.0,5.0,2.0,22.0,40.0,0.273,0.384,0.547,0.931,163.0,0.404,162.0,70.0,1.0,1.0,0.0,0.0,0.0,*7/D,
8.0,Bo Bichette,27.0,TOR,AL,0.3,33.0,150.0,141.0,13.0,40.0,10.0,0.0,1.0,14.0,3.0,2.0,6.0,22.0,0.284,0.32,0.376,0.696,100.0,0.311,100.0,53.0,2.0,2.0,0.0,1.0,1.0,*6,
9.0,Bryan Reynolds#,30.0,PIT,NL,-0.5,33.0,150.0,135.0,13.0,32.0,5.0,0.0,4.0,17.0,3.0,2.0,12.0,41.0,0.237,0.3,0.363,0.663,85.0,0.291,78.0,49.0,4.0,1.0,0.0,2.0,1.0,9D,
10.0,Willy Adames,29.0,SFG,NL,-0.5,34.0,149.0,130.0,18.0,28.0,5.0,0.0,2.0,15.0,2.0,2.0,17.0,34.0,0.215,0.302,0.3,0.602,76.0,0.278,80.0,39.0,1.0,0.0,0.0,2.0,0.0,*6/D,
11.0,Jackson Chourio,21.0,MIL,NL,0.8,33.0,149.0,145.0,22.0,37.0,12.0,1.0,6.0,24.0,2.0,2.0,2.0,33.0,0.255,0.268,0.476,0.744,104.0,0.336,112.0,69.0,5.0,1.0,0.0,1.0,0.0,*79/8D,
12.0,Elly De La Cruz#,23.0,CIN,NL,1.2,34.0,149.0,131.0,24.0,36.0,5.0,0.0,5.0,25.0,13.0,4.0,15.0,40.0,0.275,0.356,0.427,0.783,115.0,0.349,109.0,56.0,0.0,2.0,0.0,1.0,2.0,*6,
13.0,Xavier Edwards#,25.0,MIA,NL,-0.2,32.0,149.0,131.0,15.0,34.0,3.0,1.0,0.0,10.0,7.0,2.0,14.0,25.0,0.26,0.331,0.298,0.629,74.0,0.296,72.0,39.0,0.0,1.0,1.0,2.0,1.0,*6/D,
14.0,Brent Rooker,30.0,ATH,AL,0.5,34.0,149.0,136.0,21.0,34.0,5.0,1.0,9.0,18.0,0.0,1.0,12.0,39.0,0.25,0.315,0.5,0.815,130.0,0.355,132.0,68.0,2.0,1.0,0.0,0.0,0.0,*D/79H,
15.0,TJ Friedl*,29.0,CIN,NL,0.4,32.0,148.0,133.0,18.0,36.0,6.0,1.0,1.0,13.0,7.0,2.0,11.0,23.0,0.271,0.327,0.353,0.68,87.0,0.32,91.0,47.0,2.0,1.0,1.0,2.0,0.0,*8/D,
