Tm,Aff,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
LG Twins,,29.9,7.30,10,411,340,73,100,18,1,13,65,15,3,52,75,.294,.394,.468,.861,159,5,7,7,5,4
Samsung Lions,,29.1,6.82,11,435,376,75,102,20,2,14,66,8,3,44,81,.271,.355,.447,.802,168,5,7,4,4,2
Kiwoom Heroes,,27.4,5.73,11,442,386,63,111,20,1,11,58,2,0,39,94,.288,.364,.430,.794,166,10,9,5,3,0
NC Dinos,,29.4,5.00,8,325,279,40,82,12,3,6,39,5,3,31,68,.294,.371,.423,.794,118,7,6,4,5,0
Kia Tigers,,30.2,5.00,11,433,375,55,97,24,0,14,55,5,0,52,83,.259,.348,.435,.783,163,7,1,2,3,0
Doosan Bears,,30.0,4.36,11,418,377,48,93,17,3,6,41,7,3,32,99,.247,.314,.355,.670,134,7,6,1,2,0
SSG Landers,,29.0,4.00,9,346,293,36,68,6,1,6,36,7,4,39,70,.232,.327,.321,.648,94,4,4,7,3,2
KT Wiz,,31.1,3.73,11,439,380,41,93,20,2,5,40,5,3,45,84,.245,.329,.347,.676,132,7,5,4,5,2
Lotte Giants,,28.4,2.73,11,413,362,30,82,18,2,4,30,5,3,33,86,.227,.299,.320,.619,116,12,6,8,4,1
Hanwha Eagles,,28.1,2.55,11,386,347,28,60,15,1,4,26,10,3,31,80,.173,.251,.257,.507,89,8,5,3,0,1
