Tm,Aff,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Doosan Bears,,30.0,5.00,14,556,492,70,131,24,5,8,61,10,3,46,125,.266,.336,.384,.720,189,8,8,5,5,0
Hanwha Eagles,,28.1,2.86,14,503,452,40,81,17,1,8,38,10,4,41,102,.179,.256,.274,.530,124,10,6,3,1,1
KT Wiz,,31.1,3.38,13,505,436,44,103,22,2,5,42,6,4,54,97,.236,.325,.330,.656,144,9,6,4,5,2
Kia Tigers,,30.3,4.69,13,507,442,61,109,27,0,14,61,7,0,58,101,.247,.335,.403,.737,178,8,2,2,3,0
Kiwoom Heroes,,27.5,5.07,14,550,475,71,126,22,1,12,65,3,0,54,114,.265,.351,.392,.742,186,16,11,5,5,0
LG Twins,,29.9,7.58,12,489,404,91,119,20,1,15,81,16,3,60,87,.295,.391,.460,.851,186,6,9,8,8,4
Lotte Giants,,28.5,3.71,14,543,472,52,117,25,2,6,50,10,4,49,113,.248,.325,.348,.673,164,13,7,11,4,1
NC Dinos,,29.4,5.18,11,442,381,57,111,16,4,10,56,7,6,41,100,.291,.367,.433,.800,165,8,8,6,6,0
SSG Landers,,28.9,3.64,11,417,357,40,82,6,1,7,40,10,4,46,87,.230,.322,.311,.633,111,6,4,7,3,2
Samsung Lions,,29.3,7.00,14,555,482,98,136,26,2,19,89,9,4,57,102,.282,.363,.463,.826,223,5,7,4,5,3
