Name,League,Team,Stat,Versus,Prizepicks,Odds Type
Shota Takeda,KBO,SSG,Pitching Outs,HAN,15.5,demon
Wilkel Hernandez,KBO,HAN,Pitching Outs,SSG,15.5,standard
Shota Takeda,KBO,SSG,Hits Allowed,HAN,5.5,standard
Wilkel Hernandez,KBO,HAN,Hits Allowed,SSG,5.5,standard
Caleb Boushley,KBO,KTW,Pitching Outs,KIW,17.5,goblin
Caleb Boushley,KBO,KTW,Hits Allowed,KIW,5.0,standard
Park Jun-hyun,KBO,KIW,Hits Allowed,KTW,5.0,standard
Choi Min-seok,KBO,DOO,Pitching Outs,SAM,17.5,goblin
Choi Min-seok,KBO,DOO,Hits Allowed,SAM,5.5,standard
Jeremy Beasley,KBO,LOT,Pitching Outs,NCD,17.5,goblin
Curtis Taylor,KBO,NCD,Pitching Outs,LOT,15.5,demon
Curtis Taylor,KBO,NCD,Hits Allowed,LOT,5.5,standard
Jeremy Beasley,KBO,LOT,Hits Allowed,NCD,5.0,standard
Anders Tolhurst,KBO,LG,Pitching Outs,KIA,17.5,goblin
Yang Hyeon-jong,KBO,KIA,Pitching Outs,LG,15.5,demon
Anders Tolhurst,KBO,LG,Hits Allowed,KIA,5.0,standard
Yang Hyeon-jong,KBO,KIA,Hits Allowed,LG,5.0,standard
Shota Takeda,KBO,SSG,Pitcher Strikeouts,HAN,4.0,standard
Wilkel Hernandez,KBO,HAN,Pitcher Strikeouts,SSG,4.0,standard
Caleb Boushley,KBO,KTW,Pitcher Strikeouts,KIW,4.5,standard
Park Jun-hyun,KBO,KIW,Pitcher Strikeouts,KTW,4.0,standard
Choi Min-seok,KBO,DOO,Pitcher Strikeouts,SAM,4.5,standard
Yang Chang-seop,KBO,SAM,Pitcher Strikeouts,DOO,4.0,standard
Jeremy Beasley,KBO,LOT,Pitcher Strikeouts,NCD,6.5,standard
Curtis Taylor,KBO,NCD,Pitcher Strikeouts,LOT,3.5,standard
Anders Tolhurst,KBO,LG,Pitcher Strikeouts,KIA,4.5,standard
Yang Hyeon-jong,KBO,KIA,Pitcher Strikeouts,LG,4.0,standard
