Name,Date,Tm,Home/Away,Opp,Role,Dec,ERA,WHIP,IP,R,ER,HA,HR,SO,BB,HBP,PitOuts,Season
James Naile,03/22/2025,KIA,,NC,SP,,0.0,0.4,5.0,0,0,2,0,5,0,1,15,2025
Kenny Rosenberg,03/22/2025,Kiwoom,,Samsung,SP,L,24.0,3.667,3.0,8,8,8,1,4,3,1,9,2025
Cole Irvin,03/22/2025,DOOSAN,,SSG,SP,,7.2,1.6,5.0,4,4,7,0,6,1,2,15,2025
Yonny Chirinos,03/22/2025,LG,,Lotte,SP,W,3.0,1.333,6.0,2,2,5,0,8,3,0,18,2025
Enmanuel De Jesus,03/22/2025,KT,,Hanwha,SP,,1.5,0.667,6.0,1,1,2,0,7,2,0,18,2025
Ariel Jurado,03/22/2025,SAMSUNG,,Kiwoom,SP,W,3.0,1.333,6.0,2,2,8,1,5,0,1,18,2025
Charlie Barnes,03/22/2025,LOTTE,,LG,SP,L,21.0,3.333,3.0,7,7,8,1,2,2,1,9,2025
Cody Ponce,03/22/2025,HANWHA,,KT,SP,,3.6,1.6,5.0,2,2,7,0,4,1,0,15,2025
Allen Logan,03/22/2025,NC,,Kia,SP,,1.5,0.833,6.0,1,1,4,0,5,1,0,18,2025
Yang Hyeon-jong,03/23/2025,KIA,,NC,SP,L,7.2,1.8,5.0,4,4,6,1,5,3,1,15,2025
Ha Yeong-min,03/23/2025,Kiwoom,,Samsung,SP,L,12.0,2.667,3.0,5,4,8,1,3,0,0,9,2025
Ryan Weiss,03/23/2025,HANWHA,,KT,SP,,4.5,1.167,6.0,4,3,5,0,4,2,0,18,2025
Lee Seung-hyun,03/23/2025,SAMSUNG,,Kiwoom,SP,,54.0,5.97,0.67,4,4,3,1,1,1,0,2,2025
Son Ju-young,03/23/2025,LG,,Lotte,SP,W,0.0,0.429,7.0,0,0,1,0,5,2,0,21,2025
Park Se Woong,03/23/2025,LOTTE,,LG,SP,L,7.2,1.6,5.0,4,4,8,3,6,0,0,15,2025
Zach Logue,03/23/2025,DOOSAN,,SSG,SP,L,6.0,1.5,6.0,4,4,7,0,5,2,0,18,2025
Elieser Hernandez,03/25/2025,LG,,Hanwha,SP,W,0.0,0.286,7.0,0,0,1,0,8,1,0,21,2025
Tucker Davidson,03/25/2025,LOTTE,,SSG,SP,,1.29,0.714,7.0,1,1,3,1,2,2,0,21,2025
Unknown_55633,03/25/2025,KIA,,Kiwoom,SP,W,4.5,0.833,6.0,4,3,5,1,6,0,0,18,2025
Choi Won-tae,03/25/2025,SAMSUNG,,NC,SP,W,7.2,1.8,5.0,4,4,6,0,4,3,1,15,2025
Kim Yun-ha,03/25/2025,Kiwoom,,Kia,SP,L,12.6,2.2,5.0,8,7,9,5,3,2,0,15,2025
Moon Seung Won,03/25/2025,SSG,,Lotte,SP,,3.0,0.833,6.0,2,2,3,0,4,2,0,18,2025
Ryu Hyun-jin,03/25/2025,HANWHA,,LG,SP,,0.0,0.5,6.0,0,0,3,0,5,0,0,18,2025
Choi Won Joon,03/25/2025,DOOSAN,,KT,SP,,6.75,2.0,4.0,3,3,6,1,1,2,0,12,2025
Jung Hyun-woo,03/26/2025,Kiwoom,,Kia,SP,W,7.2,3.0,5.0,6,4,8,0,4,7,0,15,2025
Kim Jin-uk,03/26/2025,LOTTE,,SSG,SP,L,3.0,1.333,6.0,2,2,4,1,7,4,0,18,2025
So Hyeong-Jun,03/26/2025,KT,,Doosan,SP,L,4.5,1.5,6.0,3,3,9,0,4,0,0,18,2025
Shin Min-hyeok,03/26/2025,NC,,Samsung,SP,W,3.6,0.6,5.0,2,2,2,0,5,1,0,15,2025
Im Chan Kyu,03/26/2025,LG,,Hanwha,SP,W,0.0,0.444,9.0,0,0,2,0,5,2,0,27,2025
Oh Won-seok,03/27/2025,KT,,Doosan,SP,W,0.0,1.0,5.0,0,0,2,0,3,3,3,15,2025
Moon Dong-ju,03/27/2025,HANWHA,,LG,SP,,0.0,0.2,5.0,0,0,1,0,6,0,0,15,2025
Mok Ji-hoon,03/27/2025,NC,,Samsung,SP,,9.0,1.75,4.0,4,4,4,1,3,3,0,12,2025
Lee Seung-hyun,03/27/2025,SAMSUNG,,NC,SP,,0.0,3.03,0.33,0,0,1,0,0,0,0,0,2025
Song Seung Ki,03/27/2025,LG,,Hanwha,SP,,0.0,0.286,7.0,0,0,1,0,5,1,0,21,2025
Kim Do-hyeon,03/27/2025,KIA,,Kiwoom,SP,,0.0,1.167,6.0,2,0,4,0,2,3,0,18,2025
Yonny Chirinos,03/28/2025,LG,,NC,SP,,3.0,1.167,6.0,2,2,6,0,5,1,1,18,2025
