PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
62404,Koo Ja-wook,Samsung,2026,0.429,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.217,23,5,1,0,1,5,4,0,5,0
74540,Kang Min-ho,Samsung,2026,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15,3,1,0,0,4,0,0,6,0
50458,Kim Ji-chan,Samsung,2026,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.174,23,4,1,1,0,3,6,1,1,0
52430,Kim Young-woong,Samsung,2026,0.167,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.148,27,4,1,0,0,0,0,0,11,0
62234,Ryu Ji-hyuk,Samsung,2026,0.667,3.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.381,21,8,2,1,1,3,4,0,1,0
52415,Lee Jae-hyeon,Samsung,2026,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.143,14,2,1,0,0,1,5,1,2,0
54400,Lewin Díaz,Samsung,2026,0.5,8.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.304,23,7,2,0,1,4,3,0,2,0
79240,Heo Kyoung-min,Doosan,2026,,,,,,,,,,,,0.75,8,6,0,0,1,4,1,0,1,0
79231,Jung Soo-bin,Doosan,2026,0.154,13.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.313,16,5,0,0,0,1,5,0,2,0
63123,Kang Seung-ho,Doosan,2026,0.125,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.364,11,4,0,0,0,1,2,1,2,0
78224,Kim Jae-hwan,Doosan,2026,0.125,8.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.083,24,2,0,0,0,2,3,0,6,1
76232,Yang Eui-ji,Doosan,2026,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,20,2,0,0,0,0,1,1,1,0
64153,Yang Suk-Hwan,Doosan,2026,0.182,11.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.105,19,2,1,0,0,0,3,0,6,0
79608,An Chi-Hong,Hanwha,2026,0.417,12.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.278,18,5,3,0,0,1,6,0,4,2
50707,Choi In-ho,Hanwha,2026,,,,,,,,,,,,0.333,3,1,0,0,0,0,0,0,1,0
79192,Eun-seong Chae,Hanwha,2026,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.391,23,9,1,0,1,3,0,2,3,1
66704,Kim Tae-yean,Hanwha,2026,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1,1,0,0,0,0,0,1,0,0
69737,Roh Si-Hwan,Hanwha,2026,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.259,27,7,1,0,0,1,2,0,13,0
54730,Yonathan Perlaza,Hanwha,2026,0.333,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.522,23,12,4,0,1,5,4,0,3,1
72443,Choi Hyoung-woo,Kia,2026,0.429,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.261,23,6,0,0,1,2,3,0,2,4
66606,Choi Won-jun,Kia,2026,0.455,11.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.32,25,8,3,1,0,5,5,0,4,0
52605,Kim Do-yeong,Kia,2026,0.1,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.353,17,6,1,0,1,3,2,0,2,0
78603,Kim Sun-bin,Kia,2026,0.3,10.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.263,19,5,0,0,0,4,3,0,2,0
63260,Lee Woo-sung,Kia,2026,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.231,13,3,0,0,0,0,1,0,5,0
62947,Na Sung-bum,Kia,2026,0.154,13.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.286,14,4,0,0,0,1,2,1,5,0
64646,Park Chan-ho,Kia,2026,0.214,14.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.278,18,5,1,0,0,1,3,0,2,2
78135,Lee Hyung-jong,Kiwoom,2026,0.25,4.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,0,0,3,1,2,0
50054,Cheon Seong-ho,KT,2026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,16,8,2,0,0,1,4,0,3,0
78548,Jang Sung-woo,KT,2026,0.125,8.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.471,17,8,1,0,2,7,4,0,3,1
68050,Kang Baek-ho,KT,2026,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.385,26,10,1,0,2,10,4,0,8,0
79402,Sang-su Kim,KT,2026,0.143,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.263,19,5,0,0,0,1,3,0,3,1
53123,Austin Dean,LG,2026,0.25,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.519,27,14,2,0,3,6,4,0,1,1
66108,Hong Chang-ki,LG,2026,0.167,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.24,25,6,1,0,0,2,7,0,5,0
76290,Kim Hyun-soo,LG,2026,0.3,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.346,26,9,4,0,0,9,5,0,2,1
69102,Moon Bo-gyeong,LG,2026,,,,,,,,,,,,0.292,24,7,1,0,1,4,5,1,3,1
68119,Moon Sung-Ju,LG,2026,0.333,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.346,26,9,1,0,0,3,4,0,4,0
62415,Park Hae-min,LG,2026,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.273,22,6,2,0,0,2,1,2,1,0
