Name,Date,Tm,Home/Away,Opp,Role,Dec,ERA,WHIP,IP,R,ER,HA,HR,SO,BB,HBP,PitOuts,Season,PA
Chang Mo Koo,03/28/2026,LOTTE,,Doosan,SP,W,0.0,0.6,5.0,0.0,0,2,0.0,3,1,0.0,15,2026,
Ariel Jurado,03/28/2026,SAMSUNG,,Lotte,SP,L,4.5,1.167,6.0,3.0,3,7,1.0,2,0,0.0,18,2026,
Choi Won Joon,03/28/2026,DOOSAN,,NC,SP,,0.0,1.0,1.0,0.0,0,0,0.0,1,1,0.0,3,2026,
Raul Alcántara,03/28/2026,Kiwoom,,Hanwha,SP,,5.06,1.688,5.333333333333333,3.0,3,8,1.0,5,1,0.0,16,2026,
Matthew Sauer,03/28/2026,LOTTE,,LG,SP,W,5.4,2.0,5.0,3.0,3,5,1.0,1,5,0.0,15,2026,
Yonny Chirinos,03/28/2026,LG,,KT,SP,L,54.0,7.0,1.0,6.0,6,6,0.0,0,1,0.0,3,2026,
Mitch White,03/28/2026,SSG,,Kia,SP,,11.25,2.75,4.0,5.0,5,9,0.0,4,2,0.0,12,2026,
Bae Dong-hyun,03/28/2026,Kiwoom,,Hanwha,SP,,0.0,0.0,0.0,1.0,1,2,1.0,0,0,0.0,0,2026,2.0
Elvin Rodriguez,03/28/2026,LOTTE,,Samsung,SP,W,0.0,1.4,5.0,0.0,0,2,0.0,4,5,0.0,15,2026,
James Naile,03/28/2026,KIA,,SSG,SP,,0.0,0.5,6.0,0.0,0,2,0.0,5,1,0.0,18,2026,
Park Jeong Hun,03/28/2026,Kiwoom,,Hanwha,SP,,0.0,0.0,1.3333333333333333,0.0,0,0,0.0,1,0,0.0,4,2026,
Moon Seung Won,03/28/2026,SSG,,Kia,SP,,0.0,0.0,1.0,0.0,0,0,0.0,1,0,0.0,3,2026,
Wilkel Hernandez,03/28/2026,LOTTE,,Kiwoom,SP,,7.71,1.714,4.666666666666667,4.0,4,4,0.0,3,4,0.0,14,2026,
Park Jun Young,03/28/2026,HANWHA,,Kiwoom,SP,,0.0,1.5,0.6666666666666666,0.0,0,0,0.0,1,1,0.0,2,2026,
Gwak Been,03/29/2026,DOOSAN,,NC,SP,,9.0,1.75,4.0,4.0,4,5,2.0,5,2,0.0,12,2026,
Im Chan Kyu,03/29/2026,LG,,KT,SP,,5.4,1.6,5.0,3.0,3,6,0.0,1,2,0.0,15,2026,
Choi Won-tae,03/29/2026,SAMSUNG,,Lotte,SP,L,3.0,1.5,6.0,2.0,2,7,2.0,5,2,0.0,18,2026,
Jeremy Beasley,03/29/2026,LOTTE,,Samsung,SP,W,0.0,0.6,5.0,1.0,0,2,0.0,5,1,2.0,15,2026,
Ha Yeong-min,03/29/2026,Kiwoom,,Hanwha,SP,L,9.0,3.5,2.0,5.0,2,6,1.0,3,1,0.0,6,2026,
Curtis Taylor,03/29/2026,NC,,Doosan,SP,,3.6,1.2,5.0,2.0,2,4,0.0,6,2,0.0,15,2026,
Lee Eui Lee,03/29/2026,KIA,,SSG,SP,L,18.0,3.5,2.0,4.0,4,4,0.0,1,3,0.0,6,2026,
Park Jun Young,03/29/2026,HANWHA,,Kiwoom,SP,,0.0,0.0,1.0,0.0,0,0,0.0,2,0,0.0,3,2026,
Kim Keon Woo,03/29/2026,SSG,,Kia,SP,W,3.6,1.6,5.0,2.0,2,5,0.0,4,3,0.0,15,2026,
Lee Seung-hyun,03/29/2026,SAMSUNG,,Lotte,SP,,0.0,2.0,1.0,0.0,0,1,0.0,0,1,0.0,3,2026,
Wang Yan-cheng,03/29/2026,HANWHA,,Kiwoom,SP,W,5.06,0.938,5.333333333333333,3.0,3,4,0.0,5,1,1.0,16,2026,
So Hyeong-Jun,03/29/2026,KT,,LG,SP,,9.0,3.0,3.0,3.0,3,7,0.0,1,2,0.0,9,2026,
