Player,URL,Year,Team,ERA,WHIP,W,L,SV,H,BSV,G,GS,CG(SHO),QS,TBF,NP,IP,R,ER,H,2B,3B,HR,SO,BB,IBB,HB,WP,BK
Cody Ponce,https://mykbostats.com/players/2763,2025,Hanwha,1.63,0.88,8,0,0,0,0,11,10,0 (0),8,272,1110,72,14,13,44,6,0,2,97,19,0,0,4,3
Cody Ponce,https://mykbostats.com/players/2763,Career,,1.63,0.88,8,0,0,0,,11,,0 (0),,272,,72,14,13,44,,,2,97,19,,0,,
Wynne Coen,https://mykbostats.com/players/2897,2025,LG,6.63,1.42,1,1,0,0,0,4,4,0 (0),1,90,352,19,15,14,23,6,0,3,7,4,0,5,0,0
Wynne Coen,https://mykbostats.com/players/2897,Career,,6.63,1.42,1,1,0,0,,4,,0 (0),,90,,19,15,14,23,,,3,7,4,,5,,
Na Gyun-an,https://mykbostats.com/players/1506,2025,Lotte,4.71,1.69,0,2,0,0,0,10,10,0 (0),2,233,910,49 ⅔,31,26,60,8,0,5,37,24,0,2,3,0
Na Gyun-an,https://mykbostats.com/players/1506,2024,Lotte,8.51,2.21,4,7,0,0,0,26,14,0 (0),2,380,1491,73,73,69,114,19,0,15,74,47,0,5,10,0
Na Gyun-an,https://mykbostats.com/players/1506,2023,Lotte,3.80,1.40,6,8,0,0,0,23,23,0 (0),12,569,2208,130 ⅓,61,55,140,27,3,8,114,42,1,5,6,0
Na Gyun-an,https://mykbostats.com/players/1506,2022,Lotte,3.98,1.38,3,8,0,2,3,39,13,0 (0),6,506,1961,117 ⅔,55,52,125,36,3,5,123,37,1,3,6,0
Na Gyun-an,https://mykbostats.com/players/1506,2021,Lotte,6.41,1.86,1,2,1,1,0,23,7,0 (0),1,223,861,46 ⅓,36,33,62,13,0,4,27,24,0,0,1,1
Na Gyun-an,https://mykbostats.com/players/1506,Career,,5.07,1.62,14,27,1,3,,121,,0 (0),,1911,,417,256,235,501,,,37,375,174,,15,,
Denyi Reyes,https://mykbostats.com/players/2578,2025,Samsung,3.92,1.04,4,3,0,0,0,8,8,0 (0),2,169,673,41 ⅓,18,18,35,5,1,4,30,8,0,3,0,0
Denyi Reyes,https://mykbostats.com/players/2578,2024,Samsung,3.81,1.31,11,4,0,0,0,26,29,0 (0),12,617,2429,144,65,61,159,21,3,15,114,30,0,7,4,0
Denyi Reyes,https://mykbostats.com/players/2578,Career,,3.84,1.25,15,7,0,0,,34,,0 (0),,786,,185 ⅓,83,79,194,,,19,144,38,,10,,
Mok Ji-hoon,https://mykbostats.com/players/2454,2025,NC,5.74,1.61,2,2,0,0,0,6,6,0 (0),0,120,488,26 ⅔,17,17,24,5,0,4,24,19,0,1,6,2
Mok Ji-hoon,https://mykbostats.com/players/2454,2024,NC,12.00,2.78,0,1,0,0,0,3,3,0 (0),0,52,215,9,12,12,15,6,0,1,3,10,0,2,1,0
Mok Ji-hoon,https://mykbostats.com/players/2454,Career,,7.32,1.91,2,3,0,0,,9,,0 (0),,172,,35 ⅔,29,29,39,,,5,27,29,,3,,
Kim Kwang-hyun,https://mykbostats.com/players/396,2025,SSG,3.56,1.34,2,6,0,0,0,11,11,0 (0),5,264,1026,60 ⅔,29,24,62,10,1,5,59,19,1,3,1,0
Kim Kwang-hyun,https://mykbostats.com/players/396,2024,SSG,4.93,1.45,12,10,0,0,0,31,31,0 (0),13,709,2757,162 ⅓,95,89,162,29,0,24,154,73,1,6,8,0
