Player,URL,Year,Team,ERA,WHIP,W,L,SV,H,BSV,G,GS,CG(SHO),QS,TBF,NP,IP,R,ER,H,2B,3B,HR,SO,BB,IBB,HB,WP,BK
Yonny Chirinos,https://mykbostats.com/players/2779,2025,LG,3.31,1.18,13,6,0,0,0,30,30,0 (0),17,737,2809,177.0,71,65,173,26,1,5,137,36,0,9,4,0
Yonny Chirinos,https://mykbostats.com/players/2779,Career,,3.31,1.18,13,6,0,0,,30,,0 (0),,737,,177.0,71,65,173,,,5,137,36,,9,,
James Naile,https://mykbostats.com/players/2590,2025,Kia,2.25,1.07,8,4,0,0,0,27,27,0 (0),19,664,2521,164.333,46,41,135,18,1,6,152,41,0,15,4,0
James Naile,https://mykbostats.com/players/2590,2024,Kia,2.53,1.27,12,5,0,0,0,26,26,0 (0),13,642,2398,149.333,69,42,154,27,1,11,138,35,0,9,3,1
James Naile,https://mykbostats.com/players/2590,Career,,2.38,1.16,20,9,0,0,,53,,0 (0),,1306,,313.667,115,83,289,,,17,290,76,,24,,
Mitch White,https://mykbostats.com/players/2803,2025,SSG,2.87,1.15,11,4,0,0,0,24,24,1 (0),12,562,2165,134.667,51,43,111,17,2,9,137,44,1,8,6,0
Mitch White,https://mykbostats.com/players/2803,Career,,2.87,1.15,11,4,0,0,,24,,1 (0),,562,,134.667,51,43,111,,,9,137,44,,8,,
Ariel Jurado,https://mykbostats.com/players/2474,2025,Samsung,2.60,1.08,15,8,0,0,0,30,30,3 (2),23,786,2921,197.333,65,57,177,17,3,17,142,36,0,4,3,0
Ariel Jurado,https://mykbostats.com/players/2474,2024,Kiwoom,3.36,1.14,10,8,0,0,0,30,30,0 (0),23,779,2894,190.333,78,71,185,27,4,19,169,32,0,9,3,1
Ariel Jurado,https://mykbostats.com/players/2474,2023,Kiwoom,2.65,1.12,11,8,0,0,0,30,30,0 (0),20,763,2797,183.667,64,54,164,19,0,7,147,41,0,9,5,0
Ariel Jurado,https://mykbostats.com/players/2474,Career,,2.87,1.11,36,24,0,0,,90,,3 (2),,2328,,571.333,207,182,526,,,43,458,109,,22,,
