TEAM,GP,SOURCE_THROUGH,OPP PTS,OPP REB,OPP AST,OPP FGM,OPP FGA,OPP FG3M,OPP FG3A,OPP FTM,OPP FTA,OPP OREB,OPP DREB,OPP STL,OPP BLK,OPP TOV,OPP FG2M,OPP FG2A
ATL,44,2026-09-23,13.205,6.659,2.227,4.886,9.136,0.955,2.318,2.477,3.341,1.318,5.341,0.659,1.886,2.477,3.932,6.818
CHI,43,2026-09-23,12.256,7.023,2.0,4.302,9.14,0.837,2.349,2.814,3.767,1.977,5.047,0.884,1.395,1.721,3.465,6.791
CON,43,2026-09-23,11.651,5.93,1.698,4.116,8.233,0.535,1.558,2.884,3.977,1.488,4.442,0.884,0.977,1.395,3.581,6.674
DAL,44,2026-09-23,13.341,6.977,1.432,5.227,9.659,0.636,1.795,2.25,3.159,1.591,5.386,0.523,0.886,1.614,4.591,7.864
GSV,43,2026-09-23,11.326,6.674,1.512,4.093,8.558,0.651,1.791,2.488,3.442,1.558,5.116,0.419,0.977,1.721,3.442,6.767
IND,43,2026-09-23,10.605,6.047,1.581,4.047,8.279,0.488,1.535,2.023,2.767,1.767,4.279,0.605,1.186,1.442,3.558,6.744
LAS,43,2026-09-23,11.953,7.512,2.163,4.558,9.233,0.581,1.953,2.256,2.767,2.07,5.442,0.698,1.302,2.07,3.977,7.279
LVA,44,2026-09-23,12.5,6.136,1.727,4.864,9.364,0.705,2.182,2.068,2.568,1.773,4.364,0.864,0.523,1.773,4.159,7.182
MIN,43,2026-09-23,11.442,7.512,1.767,4.419,8.837,0.651,1.907,1.953,2.767,2.07,5.442,0.86,1.047,1.837,3.767,6.93
NYL,45,2026-09-23,10.822,5.556,2.067,4.2,8.222,0.667,1.733,1.756,2.533,1.467,4.089,0.778,0.711,1.222,3.533,6.489
PDX,44,2026-09-23,13.477,6.591,2.182,4.795,9.364,0.568,1.841,3.318,4.205,2.045,4.545,0.841,1.182,1.682,4.227,7.523
PHX,43,2026-09-23,11.907,7.442,2.163,4.558,9.581,0.651,2.0,2.14,2.86,1.721,5.721,0.86,0.953,1.442,3.907,7.581
SEA,44,2026-09-23,10.182,5.159,1.659,3.545,7.0,0.705,1.841,2.386,3.159,1.75,3.409,0.614,1.0,1.386,2.841,5.159
TOR,43,2026-09-23,12.93,7.093,1.721,5.047,9.233,0.628,1.721,2.209,3.023,2.023,5.07,0.93,1.442,1.814,4.419,7.512
WAS,43,2026-09-23,9.93,5.791,1.651,3.605,7.814,0.767,2.093,1.953,2.442,1.535,4.256,0.953,1.349,1.488,2.837,5.721
