TEAM,GP,SOURCE_THROUGH,OPP PTS,OPP REB,OPP AST,OPP FGM,OPP FGA,OPP FG3M,OPP FG3A,OPP FTM,OPP FTA,OPP OREB,OPP DREB,OPP STL,OPP BLK,OPP TOV,OPP FG2M,OPP FG2A
ATL,31,2026-08-08,28.29,13.161,4.839,10.581,21.774,2.645,7.452,4.484,6.29,3.194,9.968,2.194,1.839,5.129,7.935,14.323
CHI,32,2026-08-08,32.25,17.156,6.062,11.625,24.969,2.438,7.562,6.562,8.562,4.438,12.719,2.688,2.375,4.75,9.188,17.406
CON,31,2026-08-08,27.613,14.774,5.452,9.839,22.065,2.323,7.129,5.613,7.613,3.871,10.903,2.839,2.226,4.226,7.516,14.935
DAL,32,2026-08-08,27.531,14.312,5.625,10.469,21.531,2.125,6.0,4.469,6.156,3.938,10.375,1.938,1.406,3.875,8.344,15.531
GSV,31,2026-08-08,26.548,14.774,5.226,9.258,20.677,2.097,6.452,5.935,8.258,4.484,10.29,1.742,1.516,4.484,7.161,14.226
IND,32,2026-08-08,33.094,13.844,6.281,12.281,25.406,2.688,7.594,5.844,8.188,3.781,10.062,3.281,1.406,4.25,9.594,17.812
LAS,30,2026-08-08,28.133,16.067,6.5,10.5,21.167,2.4,7.0,4.733,6.4,4.8,11.267,3.667,1.833,4.167,8.1,14.167
LVA,33,2026-08-08,29.606,16.576,5.03,10.364,23.697,2.848,7.636,6.03,7.727,4.758,11.818,2.576,1.212,4.394,7.515,16.061
MIN,33,2026-08-08,26.758,14.091,5.333,9.97,21.97,2.364,7.788,4.455,6.182,4.576,9.515,2.121,1.182,4.455,7.606,14.182
NYL,33,2026-08-08,28.424,14.0,5.909,10.818,22.758,2.455,7.394,4.333,6.061,4.03,9.97,2.727,1.515,3.636,8.364,15.364
PDX,31,2026-08-08,29.677,14.581,5.484,10.806,22.935,2.194,7.097,5.871,7.806,5.161,9.419,2.774,1.903,4.0,8.613,15.839
PHX,33,2026-08-08,25.788,14.545,4.455,9.152,19.939,2.364,6.97,5.121,6.485,3.788,10.758,2.242,1.606,4.455,6.788,12.97
SEA,33,2026-08-08,32.939,17.485,6.061,11.788,25.727,2.818,8.818,6.545,8.394,5.485,12.0,3.152,1.515,4.424,8.97,16.909
TOR,31,2026-08-08,34.452,16.29,5.29,12.29,24.129,3.065,8.0,6.806,8.484,4.742,11.548,2.548,1.323,3.903,9.226,16.129
WAS,30,2026-08-08,26.233,14.7,5.7,9.6,22.933,2.367,8.2,4.667,6.267,4.4,10.3,3.9,2.1,3.767,7.233,14.733
