TEAM,GP,SOURCE_THROUGH,OPP PTS,OPP REB,OPP AST,OPP FGM,OPP FGA,OPP FG3M,OPP FG3A,OPP FTM,OPP FTA,OPP OREB,OPP DREB,OPP STL,OPP BLK,OPP TOV,OPP FG2M,OPP FG2A
ATL,43,2026-09-22,43.442,10.442,11.744,15.163,33.93,4.93,14.07,8.186,10.163,1.558,8.884,3.465,1.302,7.884,10.233,19.86
CHI,43,2026-09-22,45.907,13.116,12.814,15.814,36.791,5.0,14.721,9.279,11.07,2.977,10.14,3.977,1.302,6.581,10.814,22.07
CON,43,2026-09-22,48.674,12.558,13.256,16.581,35.651,5.349,14.884,10.163,12.186,2.488,10.07,4.093,1.395,7.907,11.233,20.767
DAL,43,2026-09-22,43.953,11.116,12.419,15.093,36.209,5.395,15.744,8.372,9.674,2.349,8.767,3.186,1.0,6.209,9.698,20.465
GSV,43,2026-09-22,37.651,11.233,11.86,12.698,33.14,5.14,15.581,7.116,8.907,2.186,9.047,3.581,1.116,7.279,7.558,17.558
IND,43,2026-09-22,46.698,10.884,12.814,16.163,36.465,4.628,13.744,9.744,11.581,2.651,8.233,3.442,1.116,6.953,11.535,22.721
LAS,43,2026-09-22,51.535,12.419,13.907,18.488,40.744,6.0,17.953,8.558,10.651,2.953,9.465,4.442,0.953,7.651,12.488,22.791
LVA,44,2026-09-22,46.114,11.705,12.364,16.409,38.295,5.523,16.091,7.773,9.477,2.091,9.614,3.909,0.841,6.886,10.886,22.205
MIN,43,2026-09-22,44.977,11.14,13.744,15.256,36.465,6.186,17.628,8.279,9.651,2.581,8.558,4.047,0.977,8.349,9.07,18.837
NYL,44,2026-09-22,47.568,11.795,13.636,17.045,39.955,5.841,16.841,7.636,9.727,2.75,9.045,3.682,1.045,6.341,11.205,23.114
PDX,44,2026-09-22,45.818,11.841,14.636,15.182,33.932,6.205,16.773,9.25,11.455,2.386,9.455,4.205,1.5,7.455,8.977,17.159
PHX,43,2026-09-22,48.023,11.395,14.605,16.884,37.023,6.488,17.535,7.767,9.512,2.116,9.279,4.116,1.302,6.977,10.395,19.488
SEA,43,2026-09-22,47.0,13.837,13.256,15.721,37.605,5.302,16.326,10.256,11.744,2.814,11.023,4.86,1.209,7.279,10.419,21.279
TOR,43,2026-09-22,48.977,11.791,15.651,16.884,38.512,6.233,18.442,8.977,11.047,3.047,8.744,3.977,1.0,6.674,10.651,20.07
WAS,43,2026-09-22,44.977,9.395,12.186,15.488,37.349,5.233,15.744,8.767,10.767,1.93,7.465,3.814,1.163,6.628,10.256,21.605
