Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Sabrina Ionescu,NYL,NYL @ TOR,07/12/2026,2025.0,L,33,28,9,18,50.0,3,7,42.9,7,8,87.5,1,3,4,8,3,0,1,3,-3
Tyasha Harris,IND,IND @ LVA,07/12/2026,2026.0,W,23,10,3,5,60.0,2,4,50.0,2,2,100.0,0,2,2,2,1,0,0,3,35
Jordan Horston,SEA,SEA @ WAS,07/12/2026,2026.0,L,15,4,1,2,50.0,0,0,0.0,2,2,100.0,0,3,3,0,1,0,1,4,-2
Cotie McMahon,WAS,WAS vs. SEA,07/12/2026,2026.0,W,14,4,2,6,33.3,0,2,0.0,0,1,0.0,0,1,1,2,1,0,1,0,-5
Betnijah Laney-Hamilton,NYL,NYL @ TOR,07/12/2026,2026.0,L,16,6,3,4,75.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,4,2,-5
Gabriela Jaquez,CHI,CHI @ DAL,07/12/2026,2026.0,L,17,8,3,7,42.9,0,1,0.0,2,2,100.0,1,1,2,0,0,0,0,1,-5
Makayla Timpson,IND,IND @ LVA,07/12/2026,2026.0,W,19,6,1,3,33.3,0,0,0.0,4,4,100.0,1,2,3,2,0,0,0,3,24
Alicia Florez,WAS,WAS vs. SEA,07/12/2026,2026.0,W,18,4,1,5,20.0,0,1,0.0,2,2,100.0,0,2,2,4,1,0,1,2,0
Dana Evans,LVA,LVA vs. IND,07/12/2026,2026.0,L,18,8,2,8,25.0,2,4,50.0,2,2,100.0,0,2,2,1,0,0,1,1,-34
Georgia Amoore,WAS,WAS vs. SEA,07/12/2026,2026.0,W,22,4,2,7,28.6,0,4,0.0,0,0,0.0,0,3,3,4,1,0,3,2,6
Jade Melbourne,SEA,SEA @ WAS,07/12/2026,2026.0,L,30,9,3,7,42.9,0,2,0.0,3,6,50.0,1,0,1,2,1,0,2,3,-7
Courtney Vandersloot,CHI,CHI @ DAL,07/12/2026,2026.0,L,20,9,3,8,37.5,1,1,100.0,2,2,100.0,0,1,1,3,0,0,0,1,6
